Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,HXS3/128GB,Kingston,HyperX Savage USB 3.1 128GB,13,57,154,http://usb.userbenchmark.com/SpeedTest/64443/Kingston-HyperX-Savage
USB,,ST3000DM,001-1CH166 3TB,14,55.9,12,http://usb.userbenchmark.com/SpeedTest/10423/ST3000DM-001-1CH166
USB,HXS3/256GB,Kingston,HyperX Savage USB 3.1 256GB,15,55.5,84,http://usb.userbenchmark.com/SpeedTest/47907/Kingston-HyperX-Savage
USB,,Samsung,D3 Station 2TB,16,50.2,642,http://usb.userbenchmark.com/SpeedTest/5414/Samsung-D3-Station
USB,,BUFFALO,HD-LXU3 1TB,17,50,22,http://usb.userbenchmark.com/SpeedTest/5083/BUFFALO-HD-LXU3
USB,LJDP10-64GCRBNA,Lexar,JumpDrive P10 USB 3.0 64GB,18,48.8,46,http://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,LJDP10-64GCRBEU,Lexar,JumpDrive P10 USB 3.0 64GB,18,48.8,46,http://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,,Seagate,Backup+ Desk 3TB,19,48.6,3,http://usb.userbenchmark.com/SpeedTest/3835/Seagate-Backup--Desk
USB,HXS3/64GB,Kingston,HyperX Savage USB 3.1 64GB,20,47.2,209,http://usb.userbenchmark.com/SpeedTest/41443/Kingston-HyperX-Savage
USB,9000349,Lacie,XtremKey USB 3.0 64GB,21,46,3,http://usb.userbenchmark.com/Lacie-XtremKey-USB-30-64GB/Rating/1565
USB,,Apricorn,SATAWire 256GB,22,45.6,7,http://usb.userbenchmark.com/SpeedTest/10670/Apricorn-SATAWire
USB,,WD,My Book 1230 4TB,23,44.6,95,http://usb.userbenchmark.com/SpeedTest/2929/WD-My-Book-1230
USB,,Intenso,USB 3.0 Device 2TB,24,43.4,181,http://usb.userbenchmark.com/SpeedTest/12198/Intenso-USB-30-Device
USB,LJDP20-64GCRBNA,Lexar,JumpDrive P20 USB 3.0 64GB,25,42.9,202,http://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,LJDP20-64GCRBEU,Lexar,JumpDrive P20 USB 3.0 64GB,25,42.9,202,http://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,,Seagate,Expansion Desk 2TB,26,42.8,2094,http://usb.userbenchmark.com/SpeedTest/2499/Seagate-Expansion-Desk
USB,,Innostor,Innostor 256GB,27,42.7,10,http://usb.userbenchmark.com/SpeedTest/10725/Innostor-Innostor
USB,,Kingston,DT HyperX 3.0 126GB,28,42.5,47,http://usb.userbenchmark.com/SpeedTest/5359/Kingston-DT-HyperX-30
USB,,WD,My Book 1230 3TB,29,42.5,44,http://usb.userbenchmark.com/SpeedTest/9102/WD-My-Book-1230
USB,,ST4000DM,000-1F2168 4TB,30,42.1,13,http://usb.userbenchmark.com/SpeedTest/12113/ST4000DM-000-1F2168
